===== wnba_2025_totals.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Chloe Bibby,TOT,F,14,154,14,0,154,21,55,",382",17,42,",405",4,13,",308",8,9,",889",5,25,7,8,1,7,13,67
Mamignan Touré,CON,G,18,147,18,0,147,14,39,",359",8,22,",364",6,17,",353",0,0,0,4,7,9,7,0,8,19,36
Jaylyn Sherrod,TOT,G,26,142,26,0,142,9,28,",321",3,13,",231",6,15,",400",9,13,",692",2,15,12,11,0,12,19,30
Liatu King,TOT,F,14,136,14,0,136,13,27,",481",1,6,",167",12,21,",571",11,15,",733",12,29,4,2,0,11,14,38
Jaelyn Brown,CON,G-F,10,131,10,0,131,14,37,",378",8,18,",444",6,19,",316",1,2,",500",4,12,1,5,2,5,17,37
Murjanatu Musa,PHO,C,12,122,12,0,122,16,35,",457",1,2,",500",15,33,",455",7,11,",636",18,31,7,4,2,7,17,40
Kiana Williams,PHO,G,11,107,11,0,107,17,40,",425",9,26,",346",8,14,",571",2,4,",500",0,11,10,3,0,6,6,45
Kariata Diaby,CON,C,13,103,13,0,103,7,14,",500",0,0,0,7,14,",500",11,14,",786",3,13,5,6,1,12,19,25
Alissa Pili,TOT,F,19,99,19,0,99,13,28,",464",4,12,",333",9,16,",563",13,15,",867",4,19,3,2,1,8,13,43
Elizabeth Kitley,LVA,C,12,98,12,1,98,7,23,",304",0,1,",000",7,22,",318",1,2,",500",4,17,1,4,6,7,18,15
Rayah Marshall,CON,C-F,15,90,15,0,90,9,26,",346",0,1,",000",9,25,",360",7,12,",583",7,26,4,2,3,7,12,25
Sika Koné,TOT,F,19,85,19,0,85,7,22,",318",1,5,",200",6,17,",353",12,13,",923",3,19,6,0,0,6,12,27
Tyasha Harris,DAL,G,5,82,5,0,82,8,18,",444",5,11,",455",3,7,",429",2,2,"1,000",1,5,13,2,2,3,5,23
Anastasiia Kosu,MIN,F,21,80,21,0,80,13,29,",448",0,2,",000",13,27,",481",9,15,",600",10,15,5,1,4,7,9,35
Sania Feagin,LAS,F,16,77,16,0,77,10,28,",357",0,4,",000",10,24,",417",0,2,",000",3,11,4,0,6,7,16,20
Robyn Parks,CON,F,6,63,6,0,63,1,5,",200",0,4,",000",1,1,"1,000",0,0,0,1,9,2,2,0,1,7,2
Mackenzie Holmes,SEA,F,10,58,10,0,58,5,7,",714",0,0,0,5,7,",714",0,0,0,3,9,2,5,1,0,7,10
Marquesha Davis,TOT,G,11,52,11,0,52,2,10,",200",0,4,",000",2,6,",333",6,7,",857",3,7,1,0,2,6,3,10
Madison Scott,WAS,G-F,9,47,9,0,47,5,11,",455",0,1,",000",5,10,",500",4,4,"1,000",1,1,2,2,0,1,8,14
Christyn Williams,DAL,G,4,45,4,0,45,6,16,",375",1,4,",250",5,12,",417",4,6,",667",2,4,3,0,0,1,4,17
Taylor Thierry,ATL,G-F,17,36,17,0,36,2,11,",182",1,3,",333",1,8,",125",1,4,",250",2,6,2,4,0,1,1,6
Moriah Jefferson,CHI,G,5,35,5,1,35,3,8,",375",1,3,",333",2,5,",400",0,0,0,0,5,9,0,0,2,3,7
Joyner Holmes,LVA,F,6,29,6,0,29,3,12,",250",1,5,",200",2,7,",286",0,0,0,2,6,0,0,0,2,5,7
Kyara Linskens,GSV,C,4,27,4,0,27,2,5,",400",0,1,",000",2,4,",500",0,0,0,1,6,1,1,3,2,7,4
Crystal Bradford,LVA,F,4,24,4,0,24,2,6,",333",0,2,",000",2,4,",500",0,0,0,2,5,1,2,0,1,3,4
Camryn Taylor,MIN,F,6,23,6,0,23,1,7,",143",1,3,",333",0,4,",000",0,2,",000",2,6,1,0,0,3,4,3
Alexis Prince,PHO,F,1,22,1,0,22,1,3,",333",0,1,",000",1,2,",500",0,0,0,0,8,1,0,0,3,1,2
Serena Sundell,DAL,G,3,22,3,0,22,0,1,",000",0,1,",000",0,0,0,0,0,0,0,1,0,0,0,2,4,0
Bree Hall,TOT,G,4,17,4,0,17,1,5,",200",0,2,",000",1,3,",333",1,3,",333",0,3,0,0,0,3,4,3
Cheyenne Parker-Tyus,LVA,F,2,14,2,0,14,5,8,",625",1,2,",500",4,6,",667",5,6,",833",0,2,0,0,0,1,2,16
Megan McConnell,PHO,G,1,13,1,0,13,1,4,",250",1,2,",500",0,2,",000",0,0,0,1,1,3,1,0,0,1,3
Yvonne Anderson,MIN,G,1,12,1,0,12,0,3,",000",0,1,",000",0,2,",000",0,0,0,0,1,2,2,0,0,3,0
Marième Badiane,MIN,C,3,11,3,0,11,0,3,",000",0,1,",000",0,2,",000",0,0,0,1,1,0,2,0,2,6,0
Ajae Petty,DAL,F,2,6,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Kamiah Smalls,ATL,G,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyra Lambert,IND,G,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


===== wnba_2025_per_game.txt =====
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Kelsey Plum,LAS,G,43,1508,43,43,"35,1","6,1","14,4",",422","2,3","6,5",",355","3,8","7,9",",478","5,1","5,7",",893","0,2","3,1","5,7","1,2","0,1","3,0","2,7","19,5"
Allisha Gray,ATL,G,42,1451,42,42,"34,5","5,9","13,0",",451","2,3","6,1",",384","3,5","6,9",",509","4,4","5,5",",799","0,9","5,3","3,5","1,1","0,4","1,8","2,6","18,4"
Sonia Citron,WAS,G,44,1415,44,44,"32,2","5,1","10,8",",470","1,8","4,1",",445","3,2","6,6",",486","3,0","3,4",",872","0,7","4,0","2,4","1,3","0,4","2,1","2,1","14,9"
Gabby Williams,SEA,F,44,1391,44,44,"31,6","4,5","10,7",",422","1,1","3,7",",305","3,4","6,9",",485","1,5","1,7",",853","0,5","4,3","4,2","2,3","0,5","1,9","1,5","11,6"
Kelsey Mitchell,IND,G,44,1381,44,44,"31,4","7,2","15,7",",456","2,5","6,4",",394","4,6","9,3",",499","3,4","4,3",",784","0,4","1,8","3,4","0,9","0,2","1,8","2,0","20,2"
Dearica Hamby,LAS,F,44,1374,44,44,"31,2","7,4","12,9",",572","0,3","1,2",",278","7,0","11,6",",604","3,4","5,4",",627","2,6","7,9","3,3","1,6","0,5","2,7","2,7","18,4"
